user_id,first_name,last_name,email,signup_date
1,UserFN1,UserLN1,user1@example.com,2023-01-01
2,UserFN2,UserLN2,user2@example.com,2023-01-02
3,UserFN3,UserLN3,user3@example.com,2023-01-03
4,UserFN4,UserLN4,user4@example.com,2023-01-04
5,UserFN5,UserLN5,user5@example.com,2023-01-05
6,UserFN6,UserLN6,user6@example.com,2023-01-06
7,UserFN7,UserLN7,user7@example.com,2023-01-07
8,UserFN8,UserLN8,user8@example.com,2023-01-08
9,UserFN9,UserLN9,user9@example.com,2023-01-09
10,UserFN10,UserLN10,user10@example.com,2023-01-10
11,UserFN11,UserLN11,user11@example.com,2023-01-11
12,UserFN12,UserLN12,user12@example.com,2023-01-12
13,UserFN13,UserLN13,user13@example.com,2023-01-13
14,UserFN14,UserLN14,user14@example.com,2023-01-14
15,UserFN15,UserLN15,user15@example.com,2023-01-15
16,UserFN16,UserLN16,user16@example.com,2023-01-16
17,UserFN17,UserLN17,user17@example.com,2023-01-17
18,UserFN18,UserLN18,user18@example.com,2023-01-18
19,UserFN19,UserLN19,user19@example.com,2023-01-19
20,UserFN20,UserLN20,user20@example.com,2023-01-20
21,UserFN21,UserLN21,user21@example.com,2023-01-21
22,UserFN22,UserLN22,user22@example.com,2023-01-22
23,UserFN23,UserLN23,user23@example.com,2023-01-23
24,UserFN24,UserLN24,user24@example.com,2023-01-24
25,UserFN25,UserLN25,user25@example.com,2023-01-25
26,UserFN26,UserLN26,user26@example.com,2023-01-26
27,UserFN27,UserLN27,user27@example.com,2023-01-27
28,UserFN28,UserLN28,user28@example.com,2023-01-28
29,UserFN29,UserLN29,user29@example.com,2023-01-29
30,UserFN30,UserLN30,user30@example.com,2023-01-30
31,UserFN31,UserLN31,user31@example.com,2023-01-31
32,UserFN32,UserLN32,user32@example.com,2023-02-01
33,UserFN33,UserLN33,user33@example.com,2023-02-02
34,UserFN34,UserLN34,user34@example.com,2023-02-03
35,UserFN35,UserLN35,user35@example.com,2023-02-04
36,UserFN36,UserLN36,user36@example.com,2023-02-05
37,UserFN37,UserLN37,user37@example.com,2023-02-06
38,UserFN38,UserLN38,user38@example.com,2023-02-07
39,UserFN39,UserLN39,user39@example.com,2023-02-08
